Tanggal,Aceh,Bali,BangkaBelitung_,Banten,Bengkulu,CentralJava,CentralKalimantan,CentralSulawesi,EastJava,EastKalimantan,EastNusaTenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,NorthKalimantan,NorthMaluku,NorthSulawesi,NorthSumatra,Papua,Riau,RiauIslands,SouthKalimantan,SouthSulawesi,SouthSumatra,SoutheastSulawesi,Yogyakarta,WestJava,WestKalimantan,WestNusaTengg_,WestPapua,WestSulawesi,WestSumatra,UnderInvestigation
07-Apr-2020,0,0,0,7,0,1,0,1,5,0,0,0,137,0,0,0,0,0,3,0,0,0,0,0,14,0,0,1,80,-2,0,0,0,0,0
06-Apr-2020,0,8,0,10,0,12,9,0,1,1,0,0,108,0,1,0,7,0,2,1,0,1,0,2,30,0,1,6,11,2,3,0,0,10,-8
05-Apr-2020,0,3,0,4,0,0,0,0,36,6,0,0,96,0,0,0,0,0,0,0,8,1,1,8,1,4,1,1,5,0,0,0,1,0,5
04-Apr-2020,0,5,0,3,0,6,-1,0,-3,2,0,0,57,0,-1,0,0,0,0,3,2,0,0,0,0,0,-1,6,22,0,0,0,0,0,6
03-Apr-2020,0,2,0,6,1,10,3,2,51,1,0,0,74,0,4,0,6,0,0,0,6,3,1,0,16,1,3,0,2,0,1,0,0,0,3
02-Apr-2020,0,0,0,12,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,4,0,0,0,6,0,-1,3,0,0,0,0,0,0
01-Apr-2020,0,6,0,10,0,11,0,-1,11,1,0,0,61,0,0,0,0,0,1,3,0,0,0,0,16,0,0,5,22,1,2,0,0,0,-3
31-Mar-2020,0,0,1,14,1,12,2,0,2,3,0,0,49,0,4,0,0,0,0,6,1,0,1,3,0,3,0,5,18,2,2,0,0,0,-11
30-Mar-2020,0,9,1,22,0,18,0,1,1,0,0,0,23,1,0,0,0,0,0,5,0,1,1,4,3,0,0,-4,31,-1,0,0,0,3,9
29-Mar-2020,1,1,0,3,0,8,0,0,13,0,0,0,48,0,0,0,0,0,0,0,2,1,0,0,14,0,0,0,30,5,0,0,1,0,3
28-Mar-2020,4,0,0,19,0,12,1,1,11,6,0,0,29,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,21,-1,-2,0,0,0,5
27-Mar-2020,0,0,0,17,0,3,0,0,7,0,0,0,83,0,1,0,2,0,0,0,0,-1,0,0,2,0,0,6,20,0,2,2,0,2,6
26-Mar-2020,0,9,0,0,0,2,3,1,8,0,0,0,52,0,2,0,0,0,0,1,4,0,0,-1,14,0,0,-1,5,1,0,0,0,3,8
25-Mar-2020,0,0,0,2,0,19,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,1,0,-1,9,0,0,11,13,0,1,0,0,0,6
24-Mar-2020,0,0,0,9,0,4,1,0,10,0,0,0,71,0,0,0,0,0,0,5,1,0,0,2,2,1,0,1,1,1,1,0,0,0,-3
23-Mar-2020,0,0,0,9,0,0,0,0,0,2,0,0,46,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
22-Mar-2020,0,0,0,4,0,1,0,0,15,-1,0,0,39,0,0,1,0,0,0,0,2,0,0,1,-2,0,0,0,4,0,0,0,0,0,6
21-Mar-2020,0,0,0,6,0,2,0,0,11,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,14,0,0,0,0,0,0
20-Mar-2020,0,0,0,10,0,0,2,0,6,7,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,15,0,0,0,0,0,0
19-Mar-2020,0,0,0,27,0,12,0,0,9,3,0,0,210,0,1,0,0,0,1,2,0,1,3,0,2,0,3,5,26,2,0,0,0,0,0
